session_id,product_id,category,timestamp
S00001,P0033,Baby,2025-09-01 14:20:00
S00001,P0263,Baby,2025-09-04 17:50:00
S00001,P0160,Food,2025-09-04 14:31:00
S00001,P0197,Food,2025-09-04 23:34:00
S00002,P0016,Baby,2025-09-01 07:46:00
S00002,P0155,Baby,2025-09-04 01:46:00
S00003,P0098,Electronics,2025-09-06 18:42:00
S00003,P0287,Food,2025-09-02 04:05:00
S00003,P0239,Food,2025-09-01 12:49:00
S00004,P0017,Food,2025-09-05 19:49:00
S00004,P0006,Baby,2025-09-02 16:33:00
S00004,P0131,Food,2025-09-04 16:31:00
S00004,P0195,Books,2025-09-04 12:11:00
S00005,P0081,Baby,2025-09-01 19:44:00
S00005,P0218,Books,2025-09-04 03:55:00
S00005,P0080,Food,2025-09-03 08:25:00
S00005,P0040,Electronics,2025-09-05 10:36:00
S00005,P0206,Baby,2025-09-07 00:26:00
S00006,P0268,Books,2025-09-02 18:38:00
S00006,P0286,Electronics,2025-09-06 10:49:00
S00006,P0141,Food,2025-09-02 10:07:00
S00007,P0056,Books,2025-09-02 21:47:00
S00007,P0180,Books,2025-09-07 08:47:00
S00007,P0010,Electronics,2025-09-07 22:38:00
S00007,P0024,Fashion,2025-09-01 03:09:00
S00008,P0156,Electronics,2025-09-02 07:39:00
S00008,P0010,Baby,2025-09-06 08:54:00
S00008,P0169,Books,2025-09-01 21:07:00
S00009,P0132,Food,2025-09-03 11:16:00
S00010,P0105,Food,2025-09-07 03:18:00
S00010,P0028,Electronics,2025-09-04 17:53:00
S00010,P0178,Electronics,2025-09-07 02:32:00
S00011,P0209,Baby,2025-09-06 20:33:00
S00011,P0051,Fashion,2025-09-06 05:13:00
S00011,P0046,Books,2025-09-02 19:32:00
S00011,P0029,Electronics,2025-09-05 21:21:00
S00012,P0162,Baby,2025-09-05 07:55:00
S00012,P0006,Fashion,2025-09-04 19:26:00
S00012,P0294,Electronics,2025-09-05 22:19:00
S00012,P0075,Electronics,2025-09-07 17:10:00
S00013,P0069,Electronics,2025-09-01 12:55:00
S00013,P0087,Books,2025-09-06 17:06:00
S00013,P0109,Books,2025-09-03 04:32:00
S00013,P0258,Baby,2025-09-02 02:25:00
S00014,P0213,Food,2025-09-03 03:13:00
S00014,P0198,Fashion,2025-09-01 17:01:00
S00014,P0119,Food,2025-09-03 16:03:00
S00014,P0142,Fashion,2025-09-06 13:09:00
S00015,P0032,Fashion,2025-09-05 18:33:00
S00015,P0218,Fashion,2025-09-04 22:35:00
S00015,P0098,Baby,2025-09-01 02:41:00
S00015,P0158,Fashion,2025-09-03 23:37:00
S00015,P0143,Fashion,2025-09-01 16:35:00
S00016,P0087,Food,2025-09-01 16:56:00
S00016,P0269,Baby,2025-09-06 11:09:00
S00016,P0111,Baby,2025-09-05 11:19:00
S00016,P0287,Baby,2025-09-06 11:32:00
S00017,P0257,Baby,2025-09-06 22:09:00
S00017,P0166,Electronics,2025-09-01 14:38:00
S00017,P0051,Books,2025-09-07 10:28:00
S00017,P0111,Electronics,2025-09-04 09:27:00
S00017,P0032,Food,2025-09-04 08:59:00
S00018,P0171,Food,2025-09-06 22:51:00
S00018,P0288,Baby,2025-09-07 00:44:00
S00018,P0158,Food,2025-09-06 00:08:00
S00018,P0255,Books,2025-09-04 15:56:00
S00019,P0296,Electronics,2025-09-01 01:04:00
S00019,P0035,Baby,2025-09-06 13:26:00
S00019,P0137,Baby,2025-09-02 18:48:00
S00019,P0235,Food,2025-09-04 19:03:00
S00019,P0249,Books,2025-09-02 09:47:00
S00020,P0189,Food,2025-09-04 21:38:00
S00020,P0280,Food,2025-09-05 16:16:00
S00020,P0024,Food,2025-09-01 06:31:00
S00021,P0062,Baby,2025-09-05 02:12:00
S00021,P0037,Food,2025-09-03 11:21:00
S00021,P0097,Fashion,2025-09-05 07:04:00
S00022,P0140,Books,2025-09-05 08:38:00
S00022,P0067,Food,2025-09-06 19:52:00
S00022,P0208,Food,2025-09-03 03:44:00
S00022,P0148,Baby,2025-09-06 00:15:00
S00023,P0123,Electronics,2025-09-02 21:31:00
S00023,P0032,Food,2025-09-06 15:54:00
S00023,P0285,Food,2025-09-07 18:42:00
S00023,P0286,Books,2025-09-04 12:16:00
S00023,P0080,Fashion,2025-09-06 15:10:00
S00024,P0038,Food,2025-09-03 16:00:00
S00024,P0018,Fashion,2025-09-01 17:08:00
S00024,P0010,Electronics,2025-09-06 03:05:00
S00025,P0263,Fashion,2025-09-04 02:48:00
S00025,P0015,Baby,2025-09-01 03:26:00
S00025,P0143,Baby,2025-09-04 13:34:00
S00026,P0201,Fashion,2025-09-06 08:41:00
S00026,P0032,Electronics,2025-09-05 21:15:00
S00027,P0229,Books,2025-09-06 10:58:00
S00027,P0142,Baby,2025-09-01 14:23:00
S00027,P0239,Electronics,2025-09-02 22:30:00
S00027,P0217,Books,2025-09-06 03:28:00
S00027,P0193,Books,2025-09-07 01:55:00
S00028,P0008,Fashion,2025-09-05 04:19:00
S00028,P0298,Food,2025-09-02 05:17:00
S00028,P0087,Food,2025-09-06 06:14:00
S00028,P0238,Fashion,2025-09-05 10:14:00
S00028,P0068,Electronics,2025-09-05 18:52:00
S00029,P0283,Baby,2025-09-04 05:16:00
S00029,P0045,Baby,2025-09-01 17:39:00
S00029,P0097,Fashion,2025-09-05 15:08:00
S00030,P0010,Books,2025-09-03 04:37:00
S00030,P0265,Fashion,2025-09-05 02:35:00
S00030,P0291,Books,2025-09-07 19:09:00
S00031,P0228,Books,2025-09-02 20:53:00
S00032,P0175,Baby,2025-09-03 12:27:00
S00032,P0212,Food,2025-09-07 15:15:00
S00032,P0092,Books,2025-09-04 18:50:00
S00032,P0005,Electronics,2025-09-02 03:43:00
S00033,P0230,Fashion,2025-09-04 21:12:00
S00033,P0184,Food,2025-09-06 03:12:00
S00034,P0158,Food,2025-09-01 21:46:00
S00035,P0266,Fashion,2025-09-05 01:44:00
S00036,P0277,Baby,2025-09-06 05:26:00
S00036,P0224,Electronics,2025-09-07 04:21:00
S00036,P0120,Books,2025-09-04 20:55:00
S00037,P0204,Fashion,2025-09-04 01:33:00
S00037,P0120,Food,2025-09-03 14:28:00
S00037,P0258,Baby,2025-09-01 11:03:00
S00038,P0132,Electronics,2025-09-02 00:55:00
S00038,P0037,Fashion,2025-09-03 07:04:00
S00038,P0005,Baby,2025-09-03 14:43:00
S00039,P0164,Baby,2025-09-02 06:53:00
S00040,P0050,Books,2025-09-05 13:45:00
S00041,P0035,Electronics,2025-09-01 21:31:00
S00041,P0044,Food,2025-09-03 11:41:00
S00041,P0236,Baby,2025-09-06 05:54:00
S00041,P0024,Books,2025-09-06 01:20:00
S00042,P0217,Fashion,2025-09-03 13:36:00
S00042,P0259,Electronics,2025-09-01 11:38:00
S00042,P0264,Electronics,2025-09-04 06:57:00
S00042,P0047,Baby,2025-09-01 14:14:00
S00042,P0060,Fashion,2025-09-06 16:04:00
S00043,P0218,Baby,2025-09-05 12:48:00
S00044,P0109,Food,2025-09-04 15:29:00
S00044,P0177,Electronics,2025-09-04 14:12:00
S00044,P0086,Fashion,2025-09-02 04:27:00
S00045,P0020,Books,2025-09-05 00:31:00
S00045,P0138,Electronics,2025-09-07 21:25:00
S00046,P0176,Food,2025-09-03 10:30:00
S00046,P0245,Electronics,2025-09-01 03:22:00
S00046,P0150,Baby,2025-09-03 22:18:00
S00046,P0008,Fashion,2025-09-07 05:18:00
S00047,P0075,Books,2025-09-03 00:51:00
S00047,P0101,Food,2025-09-06 09:37:00
S00047,P0114,Books,2025-09-01 03:17:00
S00047,P0160,Baby,2025-09-05 22:45:00
S00047,P0114,Books,2025-09-02 08:10:00
S00048,P0169,Fashion,2025-09-07 11:39:00
S00049,P0157,Baby,2025-09-02 17:51:00
S00049,P0190,Food,2025-09-07 22:26:00
S00049,P0244,Books,2025-09-01 10:59:00
S00050,P0042,Books,2025-09-05 22:18:00
S00050,P0218,Food,2025-09-05 13:06:00
S00050,P0056,Food,2025-09-07 15:21:00
S00050,P0174,Books,2025-09-02 09:06:00
S00051,P0010,Fashion,2025-09-03 00:31:00
S00051,P0144,Electronics,2025-09-02 04:54:00
S00051,P0272,Electronics,2025-09-02 06:43:00
S00052,P0144,Baby,2025-09-03 01:36:00
S00053,P0230,Electronics,2025-09-04 06:56:00
S00053,P0261,Fashion,2025-09-02 06:02:00
S00054,P0215,Baby,2025-09-06 15:20:00
S00054,P0232,Baby,2025-09-05 14:16:00
S00054,P0021,Food,2025-09-04 20:14:00
S00054,P0122,Food,2025-09-03 19:41:00
S00055,P0053,Food,2025-09-01 04:22:00
S00055,P0259,Electronics,2025-09-05 08:47:00
S00056,P0024,Baby,2025-09-07 02:55:00
S00056,P0110,Food,2025-09-07 09:28:00
S00057,P0160,Food,2025-09-02 10:09:00
S00057,P0166,Fashion,2025-09-04 18:23:00
S00057,P0162,Books,2025-09-04 03:48:00
S00057,P0151,Baby,2025-09-03 03:48:00
S00058,P0064,Fashion,2025-09-05 23:18:00
S00058,P0112,Electronics,2025-09-06 03:20:00
